source,id,label,description
oh1,astro,Astro,"With the Astro actions, you can calculate sunrise and sunset DataTime values in rules."
oh1,dscalarm,DSC Alarm,"This bundle exposes openHAB rule extensions to be used with the DSC Alarm Binding (1.x binding).  It allows the sending of DSC Alarm specific commands from within rules."
oh1,ecobee,Ecobee,"The Ecobee Action bundle provides actions such as setting and clearing program holds, sending a text message to the thermostat's display, renaming a remote wireless sensor, and other functions that cannot be performed by setting object properties."
oh1,harmonyhub,Logitech Harmony Hub,"* `harmonyPressButton(<device>, <command>)`"
oh1,homematic,Homematic,"The Homematic action lets you send messages to a Homematic remote control with a display, currently the HM-RC-19-B (Radio remote control 19 button)."
oh1,mail,Mail,"This add-on provides SMTP services so your rules and scripts can send e-mails. The `to` paremeter can contain a semicolon-separated list of email addresses."
oh1,mios,MiOS,"This bundle exposes openHAB Rule extensions to be used with the MiOS Binding (1.x)."
oh1,mqtt,MQTT,"Publish a message to a topic on an MQTT broker."
oh1,nma,NotifyMyAndroid,"Sends push messages to your Android devices."
oh1,openwebif,OpenWebIf,"The OpenWebIf action allows you to send a message to enigma2-based Linux satellite receivers (Dreambox, VU+, Clarke-Tech, ...) with the installed OpenWebIf plugin."
oh1,pebble,Pebble,"The Pebble action service allows you to send pins and notifications directly to your Pebble watch."
oh1,prowl,Prowl,"Prowl lets you use push notifications on iOS devices (please check openhab.cfg for required configuration settings):"
oh1,pushover,Pushover,"The Pushover action service allows you to notify mobile devices of a message using the Pushover API web service."
oh1,pushsafer,Pushsafer,"The Pushsafer action allows you to notify iOS, Android & Windows 10 Phone & Desktop devices of a message using the Pushsafer API web service."
oh1,satel,Satel,"The Satel Action bundle provides actions to read the event log of the connected alarm system, check current connection status and override configured user code."
oh1,squeezebox,Squeezebox,"Interact directly with your Squeezebox devices from within rules and scripts."
oh1,telegram,Telegram,"The Telegram Action service allows sending formatted messages to Telegram clients ([https://telegram.org](https://telegram.org)), by using the Telegram Bot API."
oh1,tinkerforge,TinkerForge,"The TinkerForge Action service provides direct interaction with some of the TinkerForge devices."
oh1,twitter,Twitter,"Twitter can be used to 'tweet' notifications when certain events take place in openHAB."
oh1,weather,Weather,"The Weather Action service provides meteorological information to your scripts and rules."
oh1,xbmc,XBMC,"Sends notifications to the Kodi open source home theater software (formerly known as XBMC)."
oh1,xmpp,XMPP,"* `sendXMPP(String to, String message)`: Sends a message to an XMPP user"
oh1,xpl,xPL,"This add-on provides xPL message sending on the network."
